feature,slice,precision,recall,fbeta
relationship,Wife,0.7613636363636364,0.5403225806451613,0.6320754716981131
relationship,Other-relative,1.0,0.0,0.0
race,White,0.7857142857142857,0.5320056899004267,0.6344359626802375
race,Asian-Pac-Islander,0.6666666666666666,0.5901639344262295,0.6260869565217391
race,Black,0.7777777777777778,0.3783783783783784,0.5090909090909091
race,Amer-Indian-Eskimo,1.0,0.5,0.6666666666666666
race,Other,0.3333333333333333,0.3333333333333333,0.3333333333333333
sex,Male,0.7769556025369979,0.5452522255192879,0.6408020924149956
sex,Female,0.7941176470588235,0.400990099009901,0.5328947368421053
native-country,United-States,0.7901498929336188,0.5215547703180212,0.628352490421456
native-country,Philippines,0.8181818181818182,0.6428571428571429,0.7200000000000001
native-country,?,0.7419354838709677,0.6388888888888888,0.6865671641791045
native-country,Guatemala,1.0,1.0,1.0
native-country,Mexico,0.42857142857142855,0.375,0.39999999999999997
native-country,Ireland,1.0,0.0,0.0
native-country,Japan,0.7142857142857143,0.7142857142857143,0.7142857142857143
native-country,Haiti,1.0,0.0,0.0
native-country,Taiwan,0.5,0.6666666666666666,0.5714285714285715
native-country,Germany,0.75,0.5,0.6
native-country,England,0.6,1.0,0.7499999999999999
native-country,China,0.6,0.5,0.5454545454545454
native-country,Nicaragua,0.5,1.0,0.6666666666666666
native-country,Vietnam,0.0,0.0,0.0
native-country,Puerto-Rico,1.0,0.0,0.0
native-country,Iran,0.5,0.3333333333333333,0.4
native-country,El-Salvador,1.0,1.0,1.0
native-country,Italy,0.5,0.25,0.3333333333333333
native-country,Canada,0.6666666666666666,0.5,0.5714285714285715
native-country,Hungary,1.0,1.0,1.0
native-country,South,0.6,0.5,0.5454545454545454
native-country,Scotland,1.0,1.0,1.0
native-country,Thailand,1.0,1.0,1.0
native-country,Portugal,1.0,1.0,1.0
native-country,Ecuador,0.5,0.5,0.5
native-country,Cuba,0.5,0.5,0.5
native-country,Honduras,1.0,1.0,1.0
native-country,Dominican-Republic,1.0,1.0,1.0
native-country,Greece,1.0,1.0,1.0
native-country,Jamaica,1.0,1.0,1.0
native-country,France,1.0,0.5,0.6666666666666666
native-country,Columbia,0.0,0.0,0.0
native-country,Yugoslavia,1.0,1.0,1.0
native-country,Peru,1.0,0.0,0.0
native-country,Poland,1.0,1.0,1.0
native-country,India,0.7777777777777778,0.875,0.823529411764706
native-country,Trinadad&Tobago,1.0,1.0,1.0
native-country,Laos,1.0,1.0,1.0
native-country,Hong,1.0,1.0,1.0
native-country,Outlying-US(Guam-USVI-etc),1.0,1.0,1.0
